Temperature [K]	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich silicate	Fe-oxidized	
164.015478	1.828257e+01	1.746194e+01	1.798903e+01	1.953955e+01	1.552693e+01	1.881652e+01	2.018888e+01	1.811611e+01	
164.508055	1.858466e+01	1.775069e+01	1.828468e+01	1.986102e+01	1.578855e+01	1.912897e+01	2.052001e+01	1.841734e+01	
165.002110	1.889129e+01	1.804376e+01	1.858476e+01	2.018730e+01	1.605417e+01	1.944614e+01	2.085607e+01	1.872314e+01	
165.497650	1.920251e+01	1.834122e+01	1.888931e+01	2.051846e+01	1.632386e+01	1.976809e+01	2.119714e+01	1.903357e+01	
165.994678	1.951839e+01	1.864313e+01	1.919841e+01	2.085455e+01	1.659766e+01	2.009490e+01	2.154328e+01	1.934870e+01	
166.493198	1.983899e+01	1.894954e+01	1.951211e+01	2.119564e+01	1.687564e+01	2.042662e+01	2.189456e+01	1.966859e+01	
166.993216	2.016438e+01	1.926053e+01	1.983048e+01	2.154181e+01	1.715785e+01	2.076333e+01	2.225104e+01	1.999330e+01	
167.494735	2.049462e+01	1.957614e+01	2.015358e+01	2.189313e+01	1.744435e+01	2.110509e+01	2.261281e+01	2.032291e+01	
167.997761	2.082977e+01	1.989645e+01	2.048147e+01	2.224965e+01	1.773520e+01	2.145197e+01	2.297993e+01	2.065748e+01	
168.502297	2.116991e+01	2.022152e+01	2.081423e+01	2.261146e+01	1.803047e+01	2.180405e+01	2.335248e+01	2.099707e+01	
169.008348	2.151510e+01	2.055141e+01	2.115191e+01	2.297863e+01	1.833020e+01	2.216139e+01	2.373052e+01	2.134176e+01	
169.515920	2.186541e+01	2.088618e+01	2.149458e+01	2.335122e+01	1.863447e+01	2.252407e+01	2.411413e+01	2.169162e+01	
170.025015	2.222091e+01	2.122590e+01	2.184231e+01	2.372930e+01	1.894333e+01	2.289215e+01	2.450339e+01	2.204672e+01	
170.535640	2.258167e+01	2.157065e+01	2.219517e+01	2.411297e+01	1.925685e+01	2.326572e+01	2.489837e+01	2.240712e+01	
171.047798	2.294776e+01	2.192047e+01	2.255322e+01	2.450228e+01	1.957509e+01	2.364484e+01	2.529914e+01	2.277291e+01	
171.561494	2.331925e+01	2.227546e+01	2.291654e+01	2.489732e+01	1.989812e+01	2.402960e+01	2.570580e+01	2.314415e+01	
172.076733	2.369621e+01	2.263566e+01	2.328520e+01	2.529815e+01	2.022600e+01	2.442006e+01	2.611841e+01	2.352092e+01	
172.593519	2.407872e+01	2.300116e+01	2.365928e+01	2.570487e+01	2.055879e+01	2.481631e+01	2.653705e+01	2.390330e+01	
173.111857	2.446686e+01	2.337202e+01	2.403883e+01	2.611755e+01	2.089657e+01	2.521842e+01	2.696181e+01	2.429136e+01	
173.631752	2.486069e+01	2.374831e+01	2.442394e+01	2.653626e+01	2.123941e+01	2.562647e+01	2.739277e+01	2.468517e+01	
174.153209	2.526030e+01	2.413011e+01	2.481468e+01	2.696109e+01	2.158736e+01	2.604055e+01	2.783001e+01	2.508483e+01	
174.676231	2.566576e+01	2.451750e+01	2.521113e+01	2.739213e+01	2.194051e+01	2.646073e+01	2.827362e+01	2.549040e+01	
175.200824	2.607715e+01	2.491053e+01	2.561336e+01	2.782944e+01	2.229892e+01	2.688710e+01	2.872367e+01	2.590196e+01	
175.726993	2.649455e+01	2.530930e+01	2.602145e+01	2.827313e+01	2.266266e+01	2.731974e+01	2.918026e+01	2.631961e+01	
176.254742	2.691804e+01	2.571387e+01	2.643548e+01	2.872326e+01	2.303180e+01	2.775874e+01	2.964347e+01	2.674341e+01	
176.784076	2.734770e+01	2.612433e+01	2.685553e+01	2.917994e+01	2.340643e+01	2.820418e+01	3.011339e+01	2.717345e+01	
177.314999	2.778361e+01	2.654075e+01	2.728168e+01	2.964324e+01	2.378660e+01	2.865614e+01	3.059011e+01	2.760983e+01	
